Index,LowerBound,UpperBound,mcmean,truemean
+132,+2.86781e+00,+3.20899e+00,+3.03840e+00,+3.00000e+00
+133,+2.85591e+00,+3.19581e+00,+3.02586e+00,+3.00000e+00
+134,+2.85622e+00,+3.19485e+00,+3.02553e+00,+3.00000e+00
+135,+2.86002e+00,+3.19739e+00,+3.02871e+00,+3.00000e+00
+136,+2.86590e+00,+3.20203e+00,+3.03396e+00,+3.00000e+00
+137,+2.87456e+00,+3.20946e+00,+3.04201e+00,+3.00000e+00
+138,+2.87756e+00,+3.21125e+00,+3.04440e+00,+3.00000e+00
+139,+2.88095e+00,+3.21343e+00,+3.04719e+00,+3.00000e+00
+140,+2.87436e+00,+3.20566e+00,+3.04001e+00,+3.00000e+00
+141,+2.86862e+00,+3.19874e+00,+3.03368e+00,+3.00000e+00
+142,+2.86400e+00,+3.19295e+00,+3.02848e+00,+3.00000e+00
+143,+2.86959e+00,+3.19739e+00,+3.03349e+00,+3.00000e+00
+144,+2.86166e+00,+3.18832e+00,+3.02499e+00,+3.00000e+00
+145,+2.85048e+00,+3.17601e+00,+3.01324e+00,+3.00000e+00
+146,+2.84608e+00,+3.17050e+00,+3.00829e+00,+3.00000e+00
+147,+2.83746e+00,+3.16077e+00,+2.99912e+00,+3.00000e+00
+148,+2.83981e+00,+3.16202e+00,+3.00092e+00,+3.00000e+00
+149,+2.84907e+00,+3.17020e+00,+3.00964e+00,+3.00000e+00
+150,+2.85883e+00,+3.17889e+00,+3.01886e+00,+3.00000e+00
+151,+2.85866e+00,+3.17766e+00,+3.01816e+00,+3.00000e+00
+152,+2.86784e+00,+3.18578e+00,+3.02681e+00,+3.00000e+00
+153,+2.86858e+00,+3.18549e+00,+3.02703e+00,+3.00000e+00
+154,+2.86648e+00,+3.18235e+00,+3.02441e+00,+3.00000e+00
+155,+2.88419e+00,+3.19905e+00,+3.04162e+00,+3.00000e+00
+156,+2.88460e+00,+3.19845e+00,+3.04153e+00,+3.00000e+00
+157,+2.87884e+00,+3.19169e+00,+3.03526e+00,+3.00000e+00
+158,+2.87842e+00,+3.19028e+00,+3.03435e+00,+3.00000e+00
+159,+2.87664e+00,+3.18751e+00,+3.03207e+00,+3.00000e+00
+160,+2.87192e+00,+3.18182e+00,+3.02687e+00,+3.00000e+00
+161,+2.87547e+00,+3.18441e+00,+3.02994e+00,+3.00000e+00
+162,+2.87632e+00,+3.18430e+00,+3.03031e+00,+3.00000e+00
+163,+2.87143e+00,+3.17846e+00,+3.02495e+00,+3.00000e+00
+164,+2.87522e+00,+3.18132e+00,+3.02827e+00,+3.00000e+00
+165,+2.87783e+00,+3.18300e+00,+3.03042e+00,+3.00000e+00
+166,+2.86794e+00,+3.17218e+00,+3.02006e+00,+3.00000e+00
+167,+2.86353e+00,+3.16687e+00,+3.01520e+00,+3.00000e+00
+168,+2.85755e+00,+3.15998e+00,+3.00877e+00,+3.00000e+00
+169,+2.86490e+00,+3.16643e+00,+3.01567e+00,+3.00000e+00
+170,+2.87048e+00,+3.17113e+00,+3.02081e+00,+3.00000e+00
+171,+2.87788e+00,+3.17764e+00,+3.02776e+00,+3.00000e+00
+172,+2.87159e+00,+3.17048e+00,+3.02104e+00,+3.00000e+00
+173,+2.87469e+00,+3.17271e+00,+3.02370e+00,+3.00000e+00
+174,+2.88393e+00,+3.18109e+00,+3.03251e+00,+3.00000e+00
+175,+2.89273e+00,+3.18904e+00,+3.04089e+00,+3.00000e+00
+176,+2.89318e+00,+3.18866e+00,+3.04092e+00,+3.00000e+00
+177,+2.88735e+00,+3.18199e+00,+3.03467e+00,+3.00000e+00
+178,+2.87831e+00,+3.17212e+00,+3.02522e+00,+3.00000e+00
+179,+2.87892e+00,+3.17191e+00,+3.02542e+00,+3.00000e+00
+180,+2.87531e+00,+3.16749e+00,+3.02140e+00,+3.00000e+00
+181,+2.87399e+00,+3.16535e+00,+3.01967e+00,+3.00000e+00
+182,+2.88093e+00,+3.17149e+00,+3.02621e+00,+3.00000e+00
+183,+2.88119e+00,+3.17096e+00,+3.02607e+00,+3.00000e+00
